,Unnamed: 0,Name,Link,Organization,Toll Free Number,Phone Number,Emails,Level of Study,Award Type,Purpose,Focus,Qualifications,Funds,Duration,Number of Awards,To Apply,Deadline,Contact,For more information,Criteria
464,464, Wynne Family Memorial Fund,http://www.cincinnatischolarshipfoundation.org, Cincinnati Scholarship Foundation 324 East 4th St. 2nd Fl. Cincinnati OH 45202,, (513)345-6701, info@cincinnatischolarshipfoundation.org, Bachelor's Degree, Scholarship, To help students from Greater Cincinnati area to achieve the dream of a college education., General studies/Field of study not specified., Applicants must be students residing in the Greater Cincinnati area and must be attending the University of Cincinnati and majoring in liberal arts.,, Annual.,, Applicants must submit a completed scholarship application form online as well as a transcript up to the first semester of the current academic year. Applicants must also submit a resume a Student Aid Report (SAR) in its entirety and a financial aid award notification from the college they plan to attend., April 30, Cincinnati Scholarship Foundation 324 E 4th St. 2nd Fl. Cincinnati OH 45202; Phone: 513-345-6701; Fax: 513-345-6705; E-mail: info@cincinnatischolarshipfoundation.org., http://www.cincinnatischolarshipfoundation.org, Selection are based on need.
465,465, Zumper Apartments Scholarship,http://www.zumper.com, Zumper.com 555 Montgomery St. Ste. 1300 Fl. 13 San Francisco CA 94111,,,, Bachelor's Degree High School, Scholarship, To help a student gain an education., General studies/Field of study not specified., Applicant must be a legal U.S. resident in high school or college; must be attending an accredited university or college in the upcoming school semester., $1000, 2/year.,, Applicants should fill out the form online at zumper.com/scholarship; must submit a short piece of 500 words in writing that includes the following: How I have impacted fellow student body or community; Housing advice for students at my school: What's one piece of advice I would give first-time student renters., April 1; November 15, Abdel ElMenshawy abdel@zumper.com., http://www.zumper.com, Selection is based on the overall strength of the application materials.
466,466, A.O. Smith Scholarships,http://www.phccweb.org, Plumbing-Heating-Cooling Contractors Association 180 S Washington St. Ste. 100 Falls Church VA 22046, 800-533-7694, (703)237-8100, customercare@naphcc.org education@naphcc.org, Bachelor's Degree, Scholarship, To help students prepare for careers in the plumbing-heating-cooling profession., Business., Applicants must be citizens of the United States or Canada and must be enrolled full-time in an undergraduate degree program at an accredited four-year college or university with a major directly to plumbing-heating-cooling profession., $2500, Annual., 2., Applicants must complete the application form and must submit an official transcript of the high school grades; letter of recommendation from high school principal or counselor college/university dean academic advisor or apprentice program instructor; SAT and ACT scores as well as cumulative GPA; and a letter of recommendation from an active member of the plumbing-heating-cooling contractors., May 1., PHCC Educational Foundation at scholarships@naphcc.org., http://www.phccweb.org, Recipients are selected based on academic performance.
467,467, A.R.F.O.R.A. Undergraduate Scholarship for Women,http://www.roea.org/aroy, American Romanian Orthodox Youth 2535 Grey Tower Rd. Jackson MI 49201-9120,, (517)522-4800,, Bachelor's Degree, Scholarship, To support the continuing education of student members., General studies/Field of study not specified., Applicant must be a communicant member or daughter of a communicant member of a parish/mission of The Romanian Orthodox Episcopate of America for at least one year prior to application; must be enrolled in an accredited college or university., $1000, Annual., 1., Application form and details are available online at roea.org/arforaundergraduate., May 10., A.R.F.O.R.A. Scholarship Committee Corina Ghertan 4636 W Pratt Ave. Lincolnwood IL 60712; arfora.scholarship@gmail.com., http://www.roea.org/aroy, Selection is based on the applicant scholastic achievement character worthiness and participation in religious life.
468,468, AABP Amstutz Scholarship,http://www.aabp.org, American Association of Bovine Practitioners 1130 E Main St. Ste. 302 Ashland OH 44805,, (419)496-0685, aabphq@aabp.org, Bachelor's Degree, Scholarship, To support the most superior students in the 2nd year of veterinary school that demonstrate the character knowledge experience motivation and potential to become outstanding bovine veterinarians in the United States and Canada., Veterinary science and medicine., Applicants must be enrolled in a college/school of veterinary medicine accredited by the AVMA Council on Educations; must be in second year of the veterinarian curriculum at the time of the application; must be a student member of AABP., $7500, Annual., Varies., detailed requirements essay questions and application are available online. All materials must be submitted electronically., May 31., URL: www.aabp.org/Students/scholinfo.asp; Fred Gingrich; E-mail: fred@aabp.org., http://www.aabp.org, Applicants will be evaluated for the overall interest of the applicant in bovine practice involvement in bovine medicine and bovine-related extracurricular activities ability to express oneself in writing and insightful answers to the essay questions.
469,469, AABP Bovine Veterinary Student Recognition Award,http://www.aabp.org, American Association of Bovine Practitioners 1130 E Main St. Ste. 302 Ashland OH 44805,, (419)496-0685, aabphq@aabp.org, Bachelor's Degree, Prize Scholarship, To provide awards to veterinary students who are interested in dairy and/or beef veterinary medicine., Veterinary science and medicine., Applicant must be a student member of AABP enrolled at Veterinary Colleges and Schools during the 2nd year and/or 3rd year., $5000, Annual., 18., Applicants must fill out the online application form which covers the background work and academic experience primary interests in veterinary medicine career goals and provides an opportunity to submit the name of a faculty sponsor., May 29, URL: www.aabp.org/students/stud_rec_award.asp., http://www.aabp.org, Award committee will evaluate the student's application based on interest in bovine medicine work experience academic and professional experience career goals and recommendations.
470,470, AFCEA Cyber Security Scholarship,http://www.afcea.org, AFCEA International 4114 Legato Rd. Ste. 1000 Fairfax VA 22033-3899, 800-336-4583, (703)631-6100, service@afcea.org, Bachelor's Degree Graduate Degree, Scholarship, To provide scholarships grants and tuition assistance for aspiring engineers technicians programmers military personnel and government officials., Computer and information sciences; Engineering; Information science and technology; National security., Applicants must: be sophomore or junior undergraduate students or graduate students enrolled full-time in an eligible degree-granting program; be U.S. citizens currently enrolled at the time of application in a four-year accredited college or university in the United States; obtain minimum overall GPA of 3.0 on a 4.0 scale; be majoring in cyber security computer science digital forensics information assurance information technology electronic engineering or a related field., $5000, Annual.,, Applicants must complete and submit online application (there is one application form for all STEM Major Scholarships); applicants will be considered for all AFCEA STEM major scholarship opportunities for which they are qualified., May 31., Email: edfoundation@afcea.org; URL: www.afcea.org/site/?q=foundation/scholarships/stem-majors., http://www.afcea.org, Recipients are selected based on demonstrated academic excellence leadership and financial need.
471,471, AFCEA War Veterans Scholarships,http://www.afcea.org, AFCEA International 4114 Legato Rd. Ste. 1000 Fairfax VA 22033-3899, 800-336-4583, (703)631-6100, service@afcea.org, Bachelor's Degree, Scholarship, To provide scholarships to war veterans., Communications; Engineering; Information science and technology; Intelligence service; Mathematics and mathematical sciences; Physics., Applicants must be active-duty service personnel honorably discharged U.S. military veterans reservists or National Guard personnel who served in Overseas Contingency Operations (Operation Enduring Freedom; Operation Iraqi Freedom; Operation New Dawn; Operation Inherent Resolve; Operation Freedom's Sentinel); must be U.S. citizens currently enrolled and attending classes as sophomores or juniors in an undergraduate program part-time or full-time in an eligible STEM major degree program at an accredited four year college or university in the U.S. (distance-learning or online programs affiliated with a major U.S. institution are eligible); must have a minimum 3.0 GPA. Eligible majors include: Biometry/Biometrics Computer Engineering Computer Forensics Science Computer Programming Computer Science Computer Systems Cybersecurity Electrical Engineering Electronics Engineering Geospatial Science Information Science Information Technology Information Resource Management Intelligence Mathematics Network Engineering Network Security Operations Research Physics Robotics Engineering Robotics Technology Statistics Strategic Intelligence and Telecommunications Engineering., $2500, Annual.,, Applicant must submit a completed application form available online at www.afcea.org/site/foundation/scholarships/war-veterans. Form must be submitted along with current official transcripts at least two letters of recommendation and DD214 or current service paperwork showing OCO service., May 31., Email: edfoundation@afcea.org., http://www.afcea.org, Selection is merit-based.
472,472, AIEA Presidential Fellows Program,http://www.aieaworld.org, Association of International Education Administrators 811 9th St. Ste. 215 Durham NC 27705, 855-725-2432, (919)893-4980, info@aieaworld.org, Bachelor's Degree, Fellowship, To give mentorship to new Senior International Officers (SIO)., Education., Applicants must be current AIEA members., $2000, Annual., Up to 5., Applicants should submit their CV Statement of Purpose and a list of 3 references., May 1., URL: www.aieaworld.org/presidential-fellows-program-., http://www.aieaworld.org, Selections will be based on the following
473,473, Airgas - Jerry Baker Scholarship,http://www.aws.org/home, American Welding Society 8669 NW 36 St. No. 130 Miami FL 33166-6672, 800-443-9353, (305)443-9353, accreditation@aws.org certification@aws.org corporate@aws.org customercare@aws.org foundation@aws.org mediasales@aws.org membership@aws.org sense@aws.org standards@aws.org, Bachelor's Degree, Scholarship, To provide financial assistance to those individuals interested in pursuing a career in welding engineering., Welding., Applicants must be U.S. or Canada citizens who are full-time undergraduate students pursuing a minimum four-year degree in a welding or welding related program at an accredited university; must be at least 18 years of age; must have at least a 2.8 overall grade point average with a 3.0 grade point average in engineering courses; must also plan to attend an institution located within the United States or Canada., $2500, Annual., 1., Applicants must submit an application form and a high school diploma., May 1., AWS Foundation Inc. 8669 NW 36 St. Ste. 130 Miami FL 33166-6672; Phone: 800-443-9353., http://www.aws.org/home, Recipients are selected based on need. Priority will be given to individuals who demonstrate an interest in pursuing a career with an industrial gas or welding equipment distributor with prior to work experience clubs organizations or extracurricular activities. For individuals residing or attending schools in the states of Alabama Georgia and Florida are also given preference. Selection will be based on Education Scholarship Committee.
474,474, AISES Intel Growing The Legacy Scholarship Program,http://www.aises.org, American Indian Science and Engineering Society 6321 Riverside Plaza Ln. NW Unit A Albuquerque NM 87120,, (505)765-1052, info@aises.org, Bachelor's Degree Graduate Degree, Scholarship, To purpose financially assist ethnic students in furthering their education., Chemistry; Computer and information sciences; Engineering Chemical; Engineering Computer; Engineering Electrical; Engineering Materials; Neuroscience; Physics., Applicant must be one of the following: an enrolled citizen or a descendant of an enrolled citizen of a federal or state recognized American Indian tribe or Alaska native village; or native Hawaiian or descendant from a native Hawaiian; or pacific islander or descendant from pacific islander; or indigenous person of Canada. applicant must also have a 3.0 or higher cumulative GPA; must be a U.S. citizen enrolled full-time at an accredited college/university pursuing a bachelors masters or doctoral degree; must be seeking a degree in chemistry chemical engineering computer engineering computer science electrical engineering electrical & computer engineering material engineering or science mechanical engineering neuroscience or physics; must be a current AISES member., $5000 $10000, Annual.,, Application is completed in three stages; details are available online at www.aises.org/students/scholarships; applicants must be academic Institution Enrollment Verification; online scholarship agreement; recent photo/headshot; a thank you letter to the scholarship donor; a signed AISES direct deposit form with accompanying bank information; submit your current resume through the OASIS platform; e-mailed resumes will not be accepted; if you need help creating a resume your school will likely have a career-services office that can help; you can also find many good resources at; submit your most recent academic transcripts; the transcripts can be unofficial or official at this time; applicant may also instead provide a copy of their certificate of degree of Indian blood or certificate of degree of Alaska native blood (CDIB) card., May 31., AISES Scholarship Department 6899 Winchester Circle STE 102A Boulder CO 80301 Phone: 720-552-6123., http://www.aises.org, Selection will be reviewed by AISES reviewers who score each application based upon factors such as academic performance (GPA and academic record) the student's personal essay (demonstrates character commitment goals) strength of recommendation letters and other activities the student has undertaken including jobs volunteer efforts internships extra-curricular activities etc.; the scored applications are then placed in a ranked list and this list is used by the AISES scholarship team and intel to select the scholarship finalists.
475,475, All Star Purchasing Scholarship,http://allstarpurchasing.com, All Star Association 3121 Wall St. Lexington KY 40513,, (859)255-3644, info@allstarpurchasing.com, Bachelor's Degree, Scholarship, To financially support those students who are continuing their studies., Food science and technology., Applicants must be undergraduate degree in food science or a related field; must be all star members or their dependents or employees of all star members and their dependents., $5000, Annual., Up to 5., Applicants must complete and print the application form; must have the official transcript from all high schools colleges and universities attended; must submit a request letter of recommendation from a faculty member familiar with the applicant's scholastic performance; must have a recent photograph; must complete and submit the application form and other supporting documents on or before the deadline., May 31., Email: susan@allstarpurchasing.com; URL: allstarpurchasing.com/scholarship-application/., http://allstarpurchasing.com, Applicants will be selected based on their academic performance courses related to food science apparent commitment to a career in dairy beverage food industry; involvement in extra-curricular activities and by the evidence of leadership ability initiative character and integrity.
476,476, ALPFA Scholarships,http://www.alpfa.org, Association of Latino Professionals For America 1717 W 6th St. Ste. 410 Austin TX 78703, 855-MYA-LPFA,, alpfamembership@national.alpfa.org info@national.alpfa.org, Bachelor's Degree Graduate Degree, Scholarship, To financially support Hispanic students pursuing college educations., General studies/Field of study not specified., Applicant must be Hispanic origin or DACA status; must be a premium student member of the ALPFA; must have a 3.0 GPA or higher (out of 4.0); must be a degree-seeking student enrolled full time at a two-year college four-year university or graduate program in the United States or Puerto Rico.,, Annual.,, Application form and details are available on Sponsor's website., May 20.,, http://www.alpfa.org, Essays will be judged on grammar spelling punctuation and clarity of composition. Consideration is also given for financial need first- or second-generation student.
477,477, Americal Legacy Foundation Scholarship,http://americal.org/cmsaml, Americal Division Veterans Association c/o Roger Gilmore PO Box 830662 Richardson TX 75080,,, gilmoraces@aol.com, Bachelor's Degree, Scholarship, To support high school graduate students planning to attend a college., General studies/Field of study not specified., Applicants must be children and grandchildren including those by adoption of current or deceased ADVA members provided the deceased member held good membership standing at the time of death or any child or adopted child of an American Division soldier who was killed or died while on active duty with the division., $500 $3500, Annual., Varies., Applicant must submit a letter from the sponsor attesting to the applicant's eligibility according to ADVA Scholarship Fund Purpose and By-Laws; a letter of admission from the applicant's college or vocational school of choice; a letter from the applicant's high school principal attesting to the applicant's character if applicant is attending or has graduated from high school (If currently attending a college applicant may disregard this reference letter); two letters of recommendation from current teachers concerning the applicant's progress in current classes or subjects; a photocopy of the applicant's high school or college transcript; a detailed statement of the applicant's academic accomplishments extracurricular activities and community service involvement; an applicant must submit a 200-300 word essay on subjects pertaining to American Division history national pride loyalty to the nation and patriotism., May 1., Scholarship Chairman William Bruinsma 5425 Parmalee Rd. Middleville Michigan 49333; Phone: 269-795-5237; Gary Noller; Phone: 830-377-8115; E-mail: gnoller@aol.com; URL: americalfoundation.org/cmsalf/scholarship.html., http://americal.org/cmsaml, Recipient shall be selected based on financial need.
478,478, American Association for Women in Community Colleges Doctoral,http://www.aawccnatl.org, American Association for Women in Community Colleges PO Box 3098 Gaithersburg MD 20885,,,, Bachelor's Degree, Scholarship, To provide support to students pursuing doctoral studies., General studies/Field of study not specified., Applicants must be women pursuing a doctoral degree; women who have been or are employed full-time at any community college in the United States., $1500, Annual., 1., Applicants must submit scholarship application form along with the required supporting documents., May 21., AAWCC PO Box 3098 Gaithersburg MD 20885; E-mail: info@aawccnatl.org or members@aawccnatl.org., http://www.aawccnatl.org, Preference will also be given to women who document completed coursework in community colleges.
479,479, AmeriGlide Achiever Scholarship,http://www.ameriglide-raleigh-nc.com, AmeriGlide Inc. 5110 Atlantic Ave. Raleigh NC 27616, 800-987-6308, (919)861-4594, amginfo@ameriglide.com, Bachelor's Degree Graduate Degree, Scholarship, To provide financial assistance for books or other school related supplies to deserving mobility challenged students., General studies/Field of study not specified., Applicants must be enrolled at an accredited two or four year college within the United States as an undergraduate or graduate student; least one year of college experience; manual or electric wheelchair or a mobility scooter; minimum 3.0 GPA; legal resident of the United States or hold a valid student visa., $2500,, 1., Applicants must submit an application form along with the essay., May 31,, http://www.ameriglide-raleigh-nc.com, Selection based on Committee's Criteria.
480,480, Angus Foundation Undergraduate Student Scholarships,http://angus.org/Foundation/WhoWeAre/About, Angus Foundation 3201 Frederick Ave. Saint Joseph MO 64506-2997,, (816)383-5100, mjenkins@angusfoundation.org prcom@angus.org, Associate Degree Bachelor's Degree Vocational, Scholarship, To support young men and women who are actively involved in the Angus breed and are pursuing an undergraduate degree., General studies/Field of study not specified., Applicant must have at one time been a National Junior Angus Association member and must currently be an active Junior Regular or Life member of the American Angus Association; must be a graduating high school senior planning to enroll or must be already enrolled in an accredited institution (junior college trade school or four-year college/university) for the fall term; must have a minimum 2.0 GPA on a 4.0 scale; must be under 25 years old., $2500 $5000, Annual.,, Applicant must submit a completed application form along with current high school or college/university transcript and three letters of recommendation., May 1.,, http://angus.org/Foundation/WhoWeAre/About, Selection will be based on the committee's criteria.
481,481, ASA Inc. Journalism Internship Program,http://www.asainc.org/index.php, Armenian Students' Association of America 333 Atlantic Ave. Warwick RI 02888,, (401)461-6114, asa@asainc.org, Bachelor's Degree,, To help journalism students of Armenian descent gain experience by interning with two English-language Armenian newspapers in the United States and Canada: The Armenian Weekly and The Armenian Mirror-Spectator., Journalism., Applicants must be journalism students of Armenian descent; open to high school seniors undergraduates and enrolled graduate students, $1000, Annual.,, Application and transcripts should be sent directly to the publication; form and details available online., May 29., URL: www.asainc.org/ASA_JIP/journalism.shtml., http://www.asainc.org/index.php,
482,482, ASHS Industry Division Student Travel Grant,http://www.ashs.org, American Society for Horticultural Science 1018 Duke St. Alexandria VA 22314,, (703)836-4606,, Bachelor's Degree Graduate Degree, Grant, To provide financial assistance to students in the area of horticulture who are attending the ASHS Annual Conference., Horticulture., Applicants should be undergraduate and graduate Horticulture students., $1000, Annual., 4., Applicants must submit transcripts completed application; letter of recommendation from undergraduate advisor or faculty member; and a 500-word essay outlining interest in horticulture and career goals., May 15.,, http://www.ashs.org, Applicants will be selected based on academic achievement (30 points for 4.0 GPA) recommendation (20 points) and essay (50 points).
483,483, Association of Energy Engineers Foundation Scholarship Program,http://www.aeecenter.org, Association of Energy Engineers 3168 Mercer University Dr. Atlanta GA 30341,, (770)447-5083,, Bachelor's Degree Graduate Degree, Scholarship, To encourage qualified practitioners in energy engineering and energy management by awarding scholarships to further education in the field., Energy-related areas., Applicants must be undergraduates and graduate degree candidates who are enrolled in engineering or management programs at accredited colleges or universities; and must be nominated by AEE Chapters.,, Annual.,, Applicants must submit a completed student application (downloadable online) current transcripts recommendation letter and a 200-300 word essay on why the applicant wants to pursue a career in the energy industry their real financial need and their professional goals. Applicant may also submit additional information on any awards received volunteer records or other relevant experience (no more than two pages)., May 1., URL: aeefoundation.org/apply-for-a-scholarship/., http://www.aeecenter.org, Applicants are evaluated based on the criteria designed by the Scholarship Selection Committee.
484,484, AVS MEMS and NEMS Technical Group Outstanding Paper Award,http://www.avs.org, AVS Science and Technology Society 125 Maiden Ln. 15th Fl. New York NY 10038,, (212)248-0200, yvonne@avs.org, Bachelor's Degree Graduate Degree, Scholarship, To promote outstanding scientific research and technological innovation., Science technologies., Applicants must be undergraduate or graduate students., $200, Annual.,, Applicants should submit a cover letter describing their intent to compete along with a copy of their AVS abstract current resume., May 2., URL: avs.org/awards/division-group-student-awards/mems-and-n ems-technical-group-student-awards/., http://www.avs.org, Applicants will be judged on the quality originality of their research and their skill in presentation (oral/poster).
485,485, BCEN Undergraduate Scholarship,http://www.ena.org, Emergency Nurses Association 930 E Woodfield Rd. Schaumburg IL 60173, 800-900-9659, (847)460-4000, academy@ena.org conference.education@ena.org contact@ena.org courseops@ena.org education@ena.org international@ena.org, Bachelor's Degree, Scholarship, To provide support to individuals and emergency nurses who are seeking a higher level of education., Nursing., Applicants must be nurses with a current BCEN credential (CEN CPEN CFRN or CTRN) who are pursuing a baccalaureate degree in nursing; must be ENA members for at least one year and with a minimum GPA of 3.0., $2000, Annual.,, Applicants must submit two letters of recommendation; one of which must be from a current ENA member in good standing. Application form is available online at www.ena.org/foundation/scholarships., May 13., Phone: 847-460-4100; Email: ena.foundation@ena.org., http://www.ena.org, Selection will be based on the committee's criteria.
486,486, Bill Nelson Scholarship Endowment (BNSE),http://www.opeaa.org, Outdoor Power Equipment Aftermarket Association 1605 King St. Alexandria VA 22314,, (703)549-7608, info@oppaa.org, Bachelor's Degree Graduate Degree, Scholarship, To supplement the educational expenses for students in the upcoming academic year., General studies/Field of study not specified., Applicants must be full time employees of OPEAA members their children stepchildren grandchildren and adopted children; current part-time employees (excluding their children) are also eligible; must be high school graduate college undergraduate or graduate student; must be planning to attend or already be enrolled in an accredited institution of higher learning. Previous awardees are ineligible to apply.,, Annual., Varies., Applicant must submit completed application form along with ACT/SAT scores and a cumulative GPA as of the most recent semester. Application form is available online at www.opeaa.org/bill-nelson-scholarship-endowment/., May 13., Suzanne Shomers BSNE Administrator; Email: infoOPEAA@opeaa.org., http://www.opeaa.org, Preference will be given to students pursuing business-related degrees.
487,487, BusinessStudent.com Business Leaders Scholarship,http://www.businessstudent.com, BusinessStudent.com 2033 San Elijio Ave. Cardiff CA 92007,,,, Bachelor's Degree Graduate Degree, Scholarship, To help students pay for their college expenses either on campus or online., Business., Applicant must be a current student at an accredited U.S. university or college (online programs included) and have a minimum 3.2 GPA on a 4.0 scale., $1500, Biennial., 2., Applicant must submit completed application and essay., May 1; October 1.,, http://www.businessstudent.com, Selection is based on the quality of the essay and the applicant's GPA.
488,488, Byron Hanke Fellowships,http://foundation.caionline.org, Foundation for Community Association Research 6402 Arlington Blvd. Ste. 500 Falls Church VA 22042, 888-224-4321, (703)970-9220, foundation@caionline.org, Bachelor's Degree Graduate Degree, Fellowship, To promote positive charge for all stakeholders who live in homeowner associations by discovering future trends and opportunities; to support and conduct research; to facilitate and promote cooperation among industry partners and provide resources that help educate the public., General studies/Field of study not specified., Applicants must be enrolled in an accredited master's doctoral or law program in United States of America or Canada; in all discipline are welcome to apply provided their research projects or studies are related to community associations., $3000 $5000, Annual., Varies., Applicants must submit a completed application form and research proposal., May 1.,, http://foundation.caionline.org, Selection will be based on the committee's criteria.
489,489, CIGNA Undergraduate Scholarship,http://www.nfbpa.org, National Forum for Black Public Administrators 200 MA Ave. NW Ste. 700 Washington DC 20001,, (202)408-9300,, Bachelor's Degree, Scholarship, To support the education and development of African-American students to prepare them for careers in public administration., Political science; Public administration; Urban affairs/design/planning., Applicants must be full-time students working towards an undergraduate degree in public administration political science urban affairs public policy or a related field preferably at an HBCU; must have a minimum 3.5 GPA., $10000, Annual., 1., Applicants must submit a cover letter describing their current student status and other relevant information to support in evaluating the application; must also submit the following materials: official copies of all graduate and undergraduate transcripts; two reference letters (at least one of which should be from a faculty member); three-page essay detailing autobiography and career goals and objectives; a current resume; three-page essay on the topic provided., May 31., Admin Services Phone: 202-408-9300 ext. 101; Email: scholarships@nfbpa.org; URL: www.nfbpa.org/programs/scholarship-program., http://www.nfbpa.org,
490,490, CMAA Student Conference Travel Grants,http://cmaa.org, Club Management Association of America 1733 King St. Alexandria VA 22314,, (703)739-9500, cmaa@cmaa.org, Bachelor's Degree, Grant Prize, To help student chapters offset the costs associated with attending the CMAA World Conference on Club Management., Management., Applicants must be student chapters of CMAA.,, Annual.,,, May 1, The Club Foundation Attn: Carrie Wosicki 1733 King St. Alexandria VA 22314-2720; Phone: 703- 739-9500; Fax: 703-739-0124., http://cmaa.org,
491,491, Colwell Law Group Single Parent Scholarship,http://colwell-law.org, Colwell Law Group 200 Great Oaks Blvd. Ste. 224 Albany NY 12203,, (518)213-4204, mcolwell@colwell-law.com, Associate Degree Bachelor's Degree, Scholarship, To help children of single parents or single parents afford college., General studies/Field of study not specified., Applicant must be the child of a single parent or a single parent themselves; be attending an accredited four-year college or university or two-year community college in the fall semester; have a minimum 3.0 GPA; and be a U.S. citizen or permanent resident., $2000, Annual., 1., Applicant must submit a current transcript and a 750-word essay explaining how living in a single-parent household has affected their life., May 31., URL: colwell-law.org/2022-single-parent-scholarship., http://colwell-law.org, Selection is based on the best essay submitted.
492,492, Corinne and Fred Capuder Memorial Scholarship,http://www.cincinnatischolarshipfoundation.org, Cincinnati Scholarship Foundation 324 East 4th St. 2nd Fl. Cincinnati OH 45202,, (513)345-6701, info@cincinnatischolarshipfoundation.org, Bachelor's Degree, Scholarship, To support students from Greater Cincinnati area to pursue a college education., General studies/Field of study not specified., Applicants must be a non-traditional student (over the age of 25) who is beginning or continuing pursuit of a post-secondary degree; must be a resident of the Greater Cincinnati area and Ripley County in Indiana.,, Annual.,, Applicant must submit a completed scholarship application form through online; along with a transcript up to the first semester of the current academic year; resume; Student Aid Report (SAR) in its entirety; financial Aid Award Notification from the college applicant plan to attend., May 15., Cincinnati Scholarship Foundation 324 E 4th St. 2nd Fl. Cincinnati OH 45202; Phone: 513-345-6701; Fax: 513-345-6705; E-mail: info@cincinnatischolarshipfoundation.org., http://www.cincinnatischolarshipfoundation.org, Selection are based on need.
493,493, Crosset Family Foundation Scholarship,http://www.cincinnatischolarshipfoundation.org, Cincinnati Scholarship Foundation 324 East 4th St. 2nd Fl. Cincinnati OH 45202,, (513)345-6701, info@cincinnatischolarshipfoundation.org, Bachelor's Degree, Scholarship, To support high school graduates who reside in Greater Cincinnati and are beginning college in the fall of their graduation., General studies/Field of study not specified., Applicants must be high school graduates; must reside in Greater Cincinnati; must beginning college in the fall of their graduation; must have proven financial need.,, Annual., 1., Applicant must submit a completed scholarship application form through online; along with a transcript up to the first semester of the current academic year; resume; Student Aid Report (SAR) in its entirety; financial Aid Award Notification from the college applicant plan to attend., May 15., Cincinnati Scholarship Foundation 324 E 4th St. 2nd Fl. Cincinnati OH 45202; Phone: 513-345-6701; Fax: 513-345-6705; E-mail: info@cincinnatischolarshipfoundation.org., http://www.cincinnatischolarshipfoundation.org, Selection is based on proven financial need.
494,494, CTEC Internships,http://www.antioch.edu/centers-institutes/institute-for-international-conser, Antioch University New England Institute for International Conservation 40 Avon St. Keene NH 03431-3516,,,, Bachelor's Degree,, To support individuals who wish to conduct studies related to tropical ecology and conservation., Ecology; Environmental conservation., Applicants must be students who are interested to further their study relevant to tropical ecology and conservation.,,,, Applicants may contact the Center for application process and other information., May 1., Paul Bocko pbocko@antioch.edu., http://www.antioch.edu/centers-institutes/institute-for-international-conser, Selection will be based on the committees' criteria.
495,495, D. Glenn Hilts Scholarship,http://www.asdal.org,,,, asdal@asdal.org, Bachelor's Degree Graduate Degree, Scholarship, To recognize excellence in scholarship and to encourage individuals with leadership potential to seek employment in a Seventh-day Adventist library., General studies/Field of study not specified; Library and archival sciences., Applicant must be a Seventh‐day Adventist in good standing; must be accepted to a graduate library and information science program in an American Library Association (ALA) accredited program or if attending outside the United States or Canada the program must be recognized by the International Federation of Library Associations.,, Annual., 1., Applicants must submit an online application form including GPA and GRE scores if available; official college transcripts. Include library school transcripts if currently enrolled; copy of the official letter of acceptance from an accredited library school; personal statement in an essay of 600 words; curriculum vitae; three letters of reference (one should be a character reference from your Seventh‐day Adventist pastor)., May 6., Melissa Hortemiller; Chair ASDAL Scholarship and Awards Committee; McKee Library Southern Adventist University P.O. Box 629 Collegedale TN 37315 Phone: 423.236.2791 Email: mhortemiller@southern.edu., http://www.asdal.org, Selection will be based on committee.
496,496, Dater Foundation Scholarship,http://www.cincinnatischolarshipfoundation.org, Cincinnati Scholarship Foundation 324 East 4th St. 2nd Fl. Cincinnati OH 45202,, (513)345-6701, info@cincinnatischolarshipfoundation.org, Bachelor's Degree, Scholarship, To support students attending Dater Junior or Senior High School who are in financial need., General studies/Field of study not specified., Applicants must be students coming from Hamilton Clermont Butler and Warren counties attending college in Ohio Indiana or Kentucky; must have proven financial need; must reside in the Greater Cincinnati area.,, Annual.,, Applicant must submit a completed scholarship application form through online; along with a transcript up to the first semester of the current academic year; resume; Student Aid Report (SAR) in its entirety; financial Aid Award Notification from the college applicant plan to attend., May 15., Cincinnati Scholarship Foundation 324 E 4th St. 2nd Fl. Cincinnati OH 45202; Phone: 513-345-6701; Fax: 513-345-6705; E-mail: info@cincinnatischolarshipfoundation.org., http://www.cincinnatischolarshipfoundation.org, Priority given to students attending Dater Junior or Senior High School.
497,497, Dee Wacksman Scholarship Fund,http://www.cincinnatischolarshipfoundation.org, Cincinnati Scholarship Foundation 324 East 4th St. 2nd Fl. Cincinnati OH 45202,, (513)345-6701, info@cincinnatischolarshipfoundation.org, Bachelor's Degree, Scholarship, To assist students majoring in the performing arts who are chosen by the Association of Community Theaters., General studies/Field of study not specified., Applicant must be a students majoring in the performing arts who are chosen by the Association of Community Theaters; must reside in the Greater Cincinnati area.,, Annual., 1., Applicant must submit a completed scholarship application form through online; along with a transcript up to the first semester of the current academic year; resume; Student Aid Report (SAR) in its entirety; financial Aid Award Notification from the college applicant plan to attend., May 15., Cincinnati Scholarship Foundation 324 E 4th St. 2nd Fl. Cincinnati OH 45202; Phone: 513-345-6701; Fax: 513-345-6705; E-mail: info@cincinnatischolarshipfoundation.org., http://www.cincinnatischolarshipfoundation.org, Selection are based on need.
